Part List

1N4001-TPMSCT-ND,DIODE GEN PURP 50V 1A DO41
160-1350-5-ND,OPTOISOLATR 5KV TRANSISTOR 4-DIP
LM7805CT-ND,IC REG LDO 5V 1A TO220-3
732-8653-1-ND,CAP 0.10 UF 20% 50 V
732-4991-1-ND,LED RED CLEAR 1206 SMD
SS8050CBU-ND,TRANS NPN 25V 1.5A TO-92
TSOP32538-ND,MOD IR RCVR 38KHZ SIDE VIEW
VSLB3940-ND,EMITTER IR 940NM 100MA RADIAL
CF14JT1K00CT-ND,RES 1K OHM 1/4W 5% AXIAL
CF14JT10K0CT-ND,RES 10K OHM 1/4W 5% AXIAL
CF14JT10R0CT-ND,RES 10 OHM 1/4W 5% AXIAL
CF18JT100RCT-ND,RES 100 OHM 1/8W 5% CF AXIAL
CF14JT300RCT-ND,RES 300 OHM 1/4W 5% AXIAL
401-1097-1-ND,SWITCH TACTILE SPST-NO 0.05A 50V
ATTINY85-20SU-ND,IC MCU 8BIT 8KB FLASH 8SOIC
